OBJECTID,GEOID,ZONE_CODE,COUNT,AREA,MEAN
1,42101008200,1,938,844200,35.02563529
2,42101017601,2,645,580500,35.60817355
3,42101008301,3,576,518400,34.83703656
4,42101008400,4,557,501300,37.94711632
5,42101008500,5,688,619200,37.38067152
6,42101009000,6,482,433800,33.81907749
7,42101009100,7,471,423900,34.67628424
8,42101009200,8,569,512100,34.76811226
9,42101009300,9,447,402300,36.87790702
10,42101009400,10,406,365400,37.0701227
11,42101009500,11,353,317700,37.18513995
12,42101009600,12,451,405900,36.88926125
13,42101010000,13,551,495900,34.79275435
14,42101010100,14,667,600300,36.47819567
15,42101034200,15,1117,1005300,30.98593227
16,42101980200,16,6047,5442300,27.10930691
17,42101034400,17,3787,3408300,31.73223277
18,42101034600,18,2066,1859400,34.12667427
19,42101036303,19,2846,2561400,30.30945635
20,42101034701,20,1273,1145700,32.57187053
21,42101034802,21,1371,1233900,32.17042117
22,42101034900,22,2153,1937700,32.69623693
23,42101035100,23,1845,1660500,29.99102636
24,42101980800,24,2389,2150100,28.60640616
25,42101009802,25,674,606600,33.2112228
26,42101018001,26,429,386100,33.43284938
27,42101017702,27,539,485100,36.63406848
28,42101017701,28,270,243000,36.75850321
29,42101035602,29,1554,1398600,33.56618224
30,42101035701,30,665,598500,33.75252052
31,42101035702,31,1731,1557900,31.99600461
32,42101035601,32,2269,2042100,32.98001018
33,42101015101,33,216,194400,35.70612943
34,42101015102,34,617,555300,35.38240014
35,42101036501,35,2026,1823400,32.67111916
36,42101980400,36,3298,2968200,34.40998374
37,42101013402,37,267,240300,34.25668164
38,42101013401,38,179,161100,33.89151529
39,42101010200,39,400,360000,36.56948967
40,42101010300,40,312,280800,36.55966695
41,42101010400,41,523,470700,35.43330976
42,42101010500,42,728,655200,35.33789348
43,42101010600,43,295,265500,35.57917118
44,42101010700,44,512,460800,35.58369315
45,42101010800,45,650,585000,34.86543833
46,42101010900,46,277,249300,35.2145399
47,42101011000,47,525,472500,35.04118606
48,42101011100,48,1451,1305900,34.60788044
49,42101011200,49,559,503100,37.10807306
50,42101011300,50,372,334800,36.29612543
51,42101011400,51,1081,972900,34.30665672
52,42101011500,52,411,369900,34.42130682
53,42101011700,53,727,654300,32.0337252
54,42101035301,55,1565,1408500,31.41367728
55,42101026301,56,450,405000,34.94685079
56,42101980300,57,8461,7614900,33.08913337
57,42101035500,58,2545,2290500,33.60019571
58,42101035800,59,1954,1758600,32.25142911
59,42101035900,60,2495,2245500,32.04146431
60,42101036000,61,2266,2039400,35.37279083
61,42101036100,62,1368,1231200,31.90264375
62,42101035302,64,1686,1517400,31.85177725
63,42101013601,65,186,167400,34.10695312
64,42101018002,66,490,441000,34.78841553
65,42101008801,67,207,186300,34.9355513
66,42101012201,68,426,383400,32.97271986
67,42101009801,69,332,298800,33.78610597
68,42101007101,70,281,252900,37.3669918
69,42101002801,71,247,222300,36.18815322
70,42101980500,72,460,414000,32.99434058
71,42101000801,73,125,112500,32.88122827
72,42101001101,74,193,173700,34.57002614
73,42101027402,75,567,510300,35.97795097
74,42101008601,76,282,253800,33.94789751
75,42101036502,77,1920,1728000,31.56364962
76,42101036700,78,889,800100,35.55545051
77,42101011800,79,1015,913500,35.20949659
78,42101011900,80,763,686700,34.36975102
79,42101012000,81,668,601200,31.66024538
80,42101012100,82,979,881100,30.99266861
81,42101012500,83,1015,913500,33.99104756
82,42101013100,84,357,321300,34.44382047
83,42101013200,85,474,426600,34.89128261
84,42101013300,86,398,358200,35.98763478
85,42101013500,87,447,402300,34.92598729
86,42101013700,88,651,585900,35.60912481
87,42101013800,89,380,342000,35.11326326
88,42101013900,90,623,560700,33.84731855
89,42101036201,91,1161,1044900,33.18920207
90,42101036302,92,556,500400,33.2863225
91,42101036400,94,5021,4518900,30.56084944
92,42101036600,95,2700,2430000,29.47611143
93,42101034803,96,1430,1287000,31.70217048
94,42101034702,97,1130,1017000,32.06399693
95,42101037600,98,799,719100,35.65093925
96,42101036900,99,2275,2047500,33.68621096
97,42101037300,100,3033,2729700,33.18153529
98,42101037200,101,1145,1030500,36.17491242
99,42101038300,102,3397,3057300,34.77530687
100,42101039000,103,2260,2034000,34.74954388
101,42101037800,104,6328,5695200,30.77534388
102,42101014000,105,490,441000,34.6686838
103,42101014100,106,625,562500,34.69554707
104,42101014200,107,1187,1068300,32.62940147
105,42101014300,108,943,848700,31.25903424
106,42101014400,109,675,607500,35.39904206
107,42101014500,110,357,321300,34.54988812
108,42101014600,111,493,443700,35.6356723
109,42101014700,112,374,336600,34.84576122
110,42101014800,113,212,190800,35.02739816
111,42101014900,114,502,451800,36.02047772
112,42101015200,115,744,669600,35.02467326
113,42101015300,116,519,467100,35.36636106
114,42101015600,117,478,430200,34.33546627
115,42101015700,118,538,484200,35.15438077
116,42101015800,119,645,580500,34.59162759
117,42101036202,120,1242,1117800,32.86991939
118,42101003800,121,1210,1089000,36.61761548
119,42101008302,122,473,425700,37.90478987
120,42101017602,123,444,399600,35.52970488
121,42101037700,124,821,738900,34.78193945
122,42101037900,125,1524,1371600,35.49691312
123,42101038200,126,2058,1852200,36.16130275
124,42101038000,127,967,870300,35.17862472
125,42101038100,128,5505,4954500,31.08893473
126,42101016000,129,801,720900,35.02691849
127,42101016100,130,786,707400,35.07020033
128,42101016200,131,404,363600,34.04897837
129,42101016300,132,636,572400,35.22793963
130,42101016400,133,538,484200,35.05409797
131,42101016500,134,436,392400,34.8986367
132,42101016600,135,291,261900,35.39874351
133,42101016800,136,646,581400,35.61459176
134,42101003901,137,466,419400,35.71713159
135,42101016902,138,629,566100,36.02154861
136,42101016901,139,569,512100,36.11907648
137,42101017000,140,1797,1617300,33.74607648
138,42101038400,141,1070,963000,30.93197407
139,42101038600,142,3711,3339900,28.03201598
140,42101038500,143,1492,1342800,29.10978736
141,42101038800,145,1540,1386000,29.92277354
142,42101038900,146,1421,1278900,30.93022563
143,42101980000,147,10416,9374400,29.4148464
144,42101017100,148,1274,1146600,34.44447729
145,42101017300,149,969,872100,35.79781878
146,42101017400,150,396,356400,35.57513451
147,42101017500,151,806,725400,35.80066872
148,42101017800,152,736,662400,35.55489872
149,42101017900,153,793,713700,34.48876114
150,42101018300,154,2243,2018700,31.9330434
151,42101018400,155,2482,2233800,30.6069198
152,42101018800,156,737,663300,36.1642989
153,42101019000,157,879,791100,35.31987546
154,42101019100,158,1620,1458000,34.66002271
155,42101019200,159,729,656100,36.20845616
156,42101019700,160,501,450900,37.0546568
157,42101019800,161,604,543600,36.73463071
158,42101019900,162,735,661500,36.37358967
159,42101020000,163,350,315000,35.8990911
160,42101020200,164,840,756000,35.08727214
161,42101020300,165,555,499500,36.06781374
162,42101020400,166,456,410400,35.89553599
163,42101020500,167,1587,1428300,34.77243186
164,42101020600,168,1501,1350900,31.74362782
165,42101020800,170,976,878400,29.31543932
166,42101020900,171,609,548100,32.29447388
167,42101021000,172,1010,909000,33.14142807
168,42101021100,173,597,537300,32.27133807
169,42101021200,174,571,513900,32.14749653
170,42101021300,175,599,539100,33.35981249
171,42101021400,176,735,661500,33.11489187
