OBJECTID,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,totalarea,sum_treecanopy,sum_naturalcover
1,42,101,008200,42101008200,82,Census Tract 82,G5020,S,0.325664014,0.145617558,0.032838915
2,42,101,017601,42101017601,176.01,Census Tract 176.01,G5020,S,0.223601997,0,
3,42,101,008301,42101008301,83.01,Census Tract 83.01,G5020,S,0.199717999,0.097372209,0.01448569
4,42,101,008400,42101008400,84,Census Tract 84,G5020,S,0.193730995,0,
5,42,101,008500,42101008500,85,Census Tract 85,G5020,S,0.239941999,0.036248331,5.585E-06
6,42,101,009000,42101009000,90,Census Tract 90,G5020,S,0.168463007,0.07156705,0.001389961
7,42,101,009100,42101009100,91,Census Tract 91,G5020,S,0.164315,0,
8,42,101,009200,42101009200,92,Census Tract 92,G5020,S,0.197687998,0,
9,42,101,009300,42101009300,93,Census Tract 93,G5020,S,0.155396,0,
10,42,101,009400,42101009400,94,Census Tract 94,G5020,S,0.141589001,0,
11,42,101,009500,42101009500,95,Census Tract 95,G5020,S,0.123194002,0,
12,42,101,009600,42101009600,96,Census Tract 96,G5020,S,0.156477004,0.046016837,6.40326E-05
13,42,101,010000,42101010000,100,Census Tract 100,G5020,S,0.192160994,0.055817614,0.001887034
14,42,101,010100,42101010100,101,Census Tract 101,G5020,S,0.232216001,0,
15,42,101,034200,42101034200,342,Census Tract 342,G5020,S,0.386397004,0.304556453,0.058247596
16,42,101,980200,42101980200,9802,Census Tract 9802,G5020,S,2.104830027,2.035629569,1.77873141
17,42,101,034400,42101034400,344,Census Tract 344,G5020,S,1.317790031,1.219447847,0.15263155
18,42,101,034600,42101034600,346,Census Tract 346,G5020,S,0.717921019,0.316841675,0.104038154
19,42,101,036303,42101036303,363.03,Census Tract 363.03,G5020,S,0.986817002,0.590280273,0.339080644
20,42,101,034701,42101034701,347.01,Census Tract 347.01,G5020,S,0.443340987,0.227952155,0.043491
21,42,101,034802,42101034802,348.02,Census Tract 348.02,G5020,S,0.47883901,0.420381566,0.081521818
22,42,101,034900,42101034900,349,Census Tract 349,G5020,S,0.750588,0.369397892,0.017250199
23,42,101,035100,42101035100,351,Census Tract 351,G5020,S,0.642265022,0.280317302,0.277098497
24,42,101,980800,42101980800,9808,Census Tract 9808,G5020,S,0.830316007,0.645593462,0.356293128
25,42,101,009802,42101009802,98.02,Census Tract 98.02,G5020,S,0.235918,0.077462553,0.002948732
26,42,101,018001,42101018001,180.01,Census Tract 180.01,G5020,S,0.149569005,0,
27,42,101,017702,42101017702,177.02,Census Tract 177.02,G5020,S,0.188902006,0,
28,42,101,017701,42101017701,177.01,Census Tract 177.01,G5020,S,0.093070902,0,
29,42,101,035602,42101035602,356.02,Census Tract 356.02,G5020,S,0.539278984,0.434105319,0.0192536
30,42,101,035701,42101035701,357.01,Census Tract 357.01,G5020,S,0.231406003,0.133246704,0.001737451
31,42,101,035702,42101035702,357.02,Census Tract 357.02,G5020,S,0.601988971,0.308198495,0.023083614
32,42,101,035601,42101035601,356.01,Census Tract 356.01,G5020,S,0.788496971,0.675562016,0.031425784
33,42,101,015101,42101015101,151.01,Census Tract 151.01,G5020,S,0.0745456,0,
34,42,101,015102,42101015102,151.02,Census Tract 151.02,G5020,S,0.214892998,0,
35,42,101,036501,42101036501,365.01,Census Tract 365.01,G5020,S,0.703962028,0.595443368,0.026039468
36,42,101,980400,42101980400,9804,Census Tract 9804,G5020,S,1.148790002,0.182513477,0.01667955
37,42,101,013402,42101013402,134.02,Census Tract 134.02,G5020,S,0.092127301,0,
38,42,101,013401,42101013401,134.01,Census Tract 134.01,G5020,S,0.0633431,0,
39,42,101,010200,42101010200,102,Census Tract 102,G5020,S,0.139235005,0,
40,42,101,010300,42101010300,103,Census Tract 103,G5020,S,0.108631,0,
41,42,101,010400,42101010400,104,Census Tract 104,G5020,S,0.182260007,0,
42,42,101,010500,42101010500,105,Census Tract 105,G5020,S,0.25396499,0,
43,42,101,010600,42101010600,106,Census Tract 106,G5020,S,0.102495998,0,
44,42,101,010700,42101010700,107,Census Tract 107,G5020,S,0.177790001,0,
45,42,101,010800,42101010800,108,Census Tract 108,G5020,S,0.226148993,0,
46,42,101,010900,42101010900,109,Census Tract 109,G5020,S,0.095817201,0,
47,42,101,011000,42101011000,110,Census Tract 110,G5020,S,0.182574004,0,
48,42,101,011100,42101011100,111,Census Tract 111,G5020,S,0.50247401,0.209845369,0.00416988
49,42,101,011200,42101011200,112,Census Tract 112,G5020,S,0.194270998,0.067876011,0.00486487
50,42,101,011300,42101011300,113,Census Tract 113,G5020,S,0.129305005,0,
51,42,101,011400,42101011400,114,Census Tract 114,G5020,S,0.375654995,0.233965636,0.000694981
52,42,101,011500,42101011500,115,Census Tract 115,G5020,S,0.143032998,0.058729857,4.67906E-06
53,42,101,011700,42101011700,117,Census Tract 117,G5020,S,0.252517015,0.211351434,0.004169881
54,42,101,035200,42101035200,352,Census Tract 352,G5020,S,0.720513999,0.581331525,0.056765488
55,42,101,035301,42101035301,353.01,Census Tract 353.01,G5020,S,0.545249999,0.34112463,0.085700263
56,42,101,026301,42101026301,263.01,Census Tract 263.01,G5020,S,0.156886995,0,
57,42,101,980300,42101980300,9803,Census Tract 9803,G5020,S,2.941610098,1.321083778,0.466908442
58,42,101,035500,42101035500,355,Census Tract 355,G5020,S,0.88460201,0.521903387,0.051072604
