OBJECTID,GEOID,ZONE_CODE,COUNT,AREA,MEAN
1,42101039100,1,1393,1253700,56.59149826
2,42101980902,2,203,182700,60.45558322
3,42101980904,3,1919,1727100,60.60776541
4,42101980903,4,190,171000,60.56485046
5,42101980906,5,3694,3324600,64.87597438
6,42101980905,6,1200,1080000,65.3092492
7,42101036700,7,808,727200,65.53589742
8,42101034702,8,1148,1033200,61.57998091
9,42101034801,9,1546,1391400,65.09533658
10,42101034802,10,1371,1233900,64.08142159
11,42101034900,11,2165,1948500,64.90883049
12,42101035100,12,1845,1660500,61.45144073
13,42101035200,13,2068,1861200,63.32649023
14,42101980300,14,8461,7614900,62.00158194
15,42101035500,15,2545,2290500,64.77330252
16,42101035800,16,1954,1758600,63.91425566
17,42101035900,17,2495,2245500,63.86853244
18,42101036000,18,2266,2039400,66.03013677
19,42101036100,19,1344,1209600,64.11807208
20,42101026000,20,604,543600,60.85777819
21,42101027500,21,682,613800,58.39632128
22,42101006500,22,1265,1138500,63.69688638
23,42101006600,23,724,651600,60.68041021
24,42101006700,24,1110,999000,61.38051763
25,42101007200,25,560,504000,66.98295215
26,42101001600,26,218,196200,66.6344162
27,42101001700,27,237,213300,66.77111842
28,42101007300,28,426,383400,60.69965788
29,42101007400,29,751,675900,64.32427324
30,42101001800,30,269,242100,67.45485083
31,42101001900,31,364,327600,67.84672875
32,42101002100,32,263,236700,67.93884042
33,42101002200,33,254,228600,68.10045498
34,42101002400,34,595,535500,68.10338398
35,42101002500,35,435,391500,66.96410649
36,42101002900,36,411,369900,67.54249161
37,42101003100,37,440,396000,67.54918753
38,42101003200,38,545,490500,66.67341215
39,42101003300,39,1294,1164600,62.26133847
40,42101007800,40,475,427500,63.19016606
41,42101007900,41,418,376200,63.5325443
42,42101008000,42,480,432000,64.49111512
43,42101008200,43,938,844200,65.49695587
44,42101008301,44,576,518400,64.71649014
45,42101003600,45,1072,964800,62.31814757
46,42101003701,46,394,354600,68.64874436
47,42101003702,47,274,246600,68.26416564
48,42101003800,48,1210,1089000,68.47186921
49,42101003901,49,466,419400,68.45292691
50,42101003902,50,504,453600,67.60664914
51,42101004001,51,349,314100,68.42878332
52,42101015300,52,519,467100,55.39705686
53,42101025300,53,647,582300,61.7168742
54,42101035301,54,1565,1408500,61.87847638
55,42101031900,55,854,768600,58.75640654
56,42101028300,56,751,675900,64.26618631
57,42101008302,57,473,425700,66.16778482
58,42101008400,58,557,501300,57.48668435
59,42101008500,59,688,619200,62.63741784
60,42101009000,60,589,530100,63.1671132
61,42101004002,61,383,344700,68.31039879
